generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check,iteration
0,0.1269869290805003,223.32,0.49439999999999995,0.5228,0.5316000000000001,0.396,0.536,0.43,0.0,9.2,772.44,871.84,0.0,6.8,0
1,0.14705141334293426,135.88,0.5438575084853996,0.4924812624059123,0.6744156677983593,0.36540182367195856,0.5011747611184681,0.3924122816069389,0.0,2.76,488.64,591.6,0.0,1.68,0
2,0.1666508952196046,74.52,0.7247120045787858,0.30962541638625807,0.7351907594647697,0.5160973416966986,0.5818638274687329,0.37197354946344274,0.0,2.84,275.44,303.24,0.0,1.48,0
3,0.1901206511615035,99.12,0.7375644505165357,0.5772239869408371,0.6292233224403669,0.5614649435697348,0.5137795491102378,0.3904258649291954,0.0,4.36,364.76,399.8,0.0,2.96,0
4,0.20021467709782714,68.44,0.6899661228919208,0.6665215362790349,0.589489885804793,0.45553545855730526,0.46712616400404267,0.37642698405753416,0.0,9.56,229.96,254.96,0.0,7.68,0
5,0.24279335837230845,70.96,0.7015387343820025,0.61505931968883,0.5109309401607974,0.514225665498884,0.4288506736005008,0.4029119920465897,0.0,7.84,236.12,277.56,0.0,7.08,0
6,0.2588308027651437,65.44,0.5873053102312601,0.5578781842847297,0.6462646383019058,0.4839588932176714,0.5710699397639295,0.4794444266018919,0.0,6.28,232.72,259.4,0.0,4.36,0
7,0.297819309398354,54.48,0.605274990850492,0.5469755160142392,0.656785764513245,0.39763735928271193,0.7037238604254741,0.48112298767913186,0.0,5.88,191.28,209.08,0.0,3.64,0
8,0.27557531442661337,84.92,0.60676678067849,0.542523162104715,0.6314229508540113,0.44229006037941815,0.5684398011920093,0.5878387514015982,0.0,6.72,301.8,332.08,0.0,5.36,0
9,0.26629822753085886,132.2,0.45224391938571734,0.4551257277993944,0.5060609173463929,0.4282977923557846,0.4272966314366851,0.6495962213730546,0.0,9.96,445.44,556.64,0.0,8.2,0
10,0.23558583265382713,103.56,0.4929809783745349,0.4255920382941946,0.4131854735950126,0.4327808159905576,0.4419407882720075,0.5621671095113938,0.0,16.36,311.64,450.84,0.0,15.64,0
11,0.29704151010594104,140.6,0.5615443569293125,0.2898398388312085,0.4526529517566161,0.45408058769284204,0.34787737150289166,0.5957573239542292,0.0,9.6,481.24,581.84,0.0,7.6,0
12,0.28864672011056003,173.48,0.608434199984481,0.3658242824074008,0.4949585727109044,0.4649484994848398,0.45928654749473075,0.5439775757470984,0.0,10.2,618.08,711.24,0.0,8.44,0
13,0.2970060001170219,183.04,0.4766752896650236,0.4099262795142284,0.7409039421876948,0.4184663790740042,0.49057146719897654,0.5437652382158306,0.0,3.08,657.32,750.52,0.0,3.08,0
14,0.3808953333796225,55.84,0.5238164557823731,0.4552416318690164,0.6259211632379064,0.4275771956899914,0.7134340180734061,0.4717879188792338,0.0,7.6,181.04,216.76,0.0,5.28,0
15,0.39419966747181173,84.48,0.5074807424718488,0.4457389973572121,0.6444622595310361,0.4322359369399635,0.5827214049357614,0.567416453583338,0.0,3.76,299.44,353.0,0.0,2.84,0
16,0.3562643333632834,174.68,0.5161168578813963,0.6082605587862843,0.5964854617131241,0.48988828510368293,0.586094510205025,0.5145796499518667,0.0,6.96,639.2,713.44,0.0,4.36,0
17,0.31741884920875213,81.96,0.5397417079232453,0.49295837359953915,0.5387847522940561,0.4077307677027697,0.529236593932677,0.5526172918512523,0.0,6.84,292.96,327.44,0.0,3.48,0
18,0.3176622830009985,45.8,0.6146275979013716,0.4712691817535861,0.5571378450197656,0.5930468886672642,0.5716027226556494,0.659188159482904,0.0,4.4,159.24,183.36,0.0,3.32,0
19,0.3537752472976832,263.08,0.5121958253548293,0.6060518267022738,0.5201090201288207,0.46491179524960236,0.5581234638065797,0.618465072191896,0.0,9.04,950.44,1070.0,0.0,11.28,0
20,0.4002385335791828,116.8,0.6069978375375561,0.6886326604775873,0.5021698698471118,0.38579419674489257,0.5178525649100025,0.49380180953454983,0.0,12.52,396.12,451.76,0.0,8.04,0
21,0.44872645240818015,137.48,0.6848913166683758,0.7141939400972128,0.5190269598307031,0.3416158819772233,0.5984140955692592,0.5850218419951567,0.0,5.72,519.2,544.72,0.0,2.64,0
22,0.4238077383729021,111.2,0.693659763858132,0.8654742228391775,0.5632086402107446,0.25748945000000634,0.5598859779670587,0.6352346992790925,0.0,0.48,438.6,449.88,0.0,0.24,0
23,0.440116943958228,133.32,0.6250189076318683,0.7771558388108842,0.5370161584271341,0.2265322599116231,0.5423773925486808,0.6018753906891718,0.0,4.28,493.56,522.04,0.0,2.16,0
24,0.3955042789685037,69.88,0.4665043975672446,0.6885443434819355,0.5733243130677763,0.3663417581714627,0.5529258276032138,0.5306770505961609,0.0,5.96,247.08,267.28,0.0,4.6,0
25,0.31897188603679294,52.92,0.2893487412961026,0.6015288702579943,0.6773057182816171,0.3193961280286731,0.4066854575988518,0.44396924785066283,0.0,5.24,187.24,212.92,0.0,4.44,0
26,0.412848731012075,79.12,0.22582807435476226,0.6112662991874638,0.6228525730540635,0.3118853679336733,0.35139124254876614,0.5718686413820686,0.0,5.08,287.0,310.48,0.0,4.48,0
27,0.28156723870640543,65.76,0.2785830193205717,0.5363746682351795,0.6969889829726745,0.32095782387985083,0.28613521263876157,0.45613820958468326,0.0,3.48,237.0,257.04,0.0,2.68,0
28,0.4509765687328756,148.36,0.3057892825088202,0.5449082643794891,0.6369684777932044,0.337954682182475,0.46093233906071385,0.46822308683977876,0.0,5.68,539.2,629.4,0.0,5.72,0
29,0.44024126567467936,82.92,0.27450964752999596,0.6192361995135668,0.5255387042590756,0.37196344010535193,0.42291086981789916,0.5499434999594099,0.0,8.52,288.52,318.56,0.0,6.56,0
30,0.4053944139000243,75.36,0.19728213647074383,0.6519915530574488,0.6558243891587834,0.26518946861238324,0.29275183845428676,0.43686572874034063,0.0,4.12,277.68,298.08,0.0,4.44,0
31,0.364777574481675,38.56,0.2272835079845229,0.6942742471881398,0.7521946645416884,0.30183924208532253,0.35185646829458206,0.4286189955569051,0.0,1.48,146.96,152.16,0.0,1.68,0
32,0.3384795724665233,122.84,0.31366593101526546,0.6324846413750319,0.6571840970081795,0.41217452364084833,0.42768839236194395,0.47401431787993387,0.0,4.64,462.64,477.92,0.0,5.36,0
33,0.47429437391002444,140.04,0.2949176543028488,0.5169913750573516,0.5913164531279059,0.6426315968967629,0.3732498451887683,0.563976351868021,0.0,4.36,524.24,567.52,0.0,4.4,0
34,0.38567181416685065,97.48,0.40928493796974375,0.47813044907650254,0.6086097714303458,0.643095566068761,0.4750041365225115,0.571947216572924,0.0,5.6,352.96,402.16,0.0,4.72,0
35,0.3676396262569519,122.64,0.6217443558641983,0.6077886490644312,0.5175982096185189,0.6542665163161882,0.5151298199287286,0.5447622013562402,0.0,6.76,436.52,511.8,0.0,4.2,0
36,0.43165459604928386,168.96,0.5620510042295265,0.559573531401432,0.5382867930270318,0.6331363193862956,0.5975765283265965,0.5248338754939651,0.0,8.32,631.32,662.6,0.0,5.4,0
37,0.3925153794407993,183.48,0.6779493569582631,0.640326047336538,0.5088739183720327,0.5195879950710584,0.5190743373951229,0.5897079020856104,0.0,13.16,640.88,747.2,0.0,11.32,0
38,0.3450129896588574,77.68,0.7174885493095592,0.6236464935972021,0.5358016911623987,0.5699098304130068,0.5549880192801744,0.6963893976576722,0.0,3.76,274.2,329.08,0.0,1.36,0
39,0.3849625938117041,91.12,0.6260156474793049,0.6493318347308085,0.603165203200621,0.6246859378532272,0.5513033374672252,0.587384454611129,0.0,2.52,349.92,367.56,0.0,1.2,0
40,0.4372913560396233,135.76,0.736164747648547,0.5981746400574819,0.5242892012949071,0.7505975545206833,0.6640800268287707,0.5961872579875689,0.0,3.76,504.0,557.6,0.0,2.28,0
41,0.36182120943913937,161.6,0.5996269282884339,0.5730332132920788,0.6730300314500252,0.6430210308285631,0.6357544848734751,0.7099545345764233,0.0,2.92,615.28,642.92,0.0,1.52,0
42,0.5320311794933268,104.44,0.687972497341475,0.5137952743667767,0.4829968604534864,0.7451918218512116,0.6441236636926737,0.6750104143199991,0.0,7.8,381.28,425.16,0.0,4.96,0
