lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff,iteration
943eb67f-e9c,generation_-1,6023c94d,0.0,0.0,0.0,0,,0.15,0.35,0.47,0.94,0.63,0.12,0,0,0,0,0,0,0
943eb67f-e9c,generation_0,6023c94d,0.09333333333333334,0.06666666666666665,0.0,15,0.0,0.15,0.35,0.47,0.94,0.63,0.12,14,8,70,0,0,0,0
120f60a6-0c9,generation_-1,aa9df0b0,0.0,0.0,0.0,0,,0.25,0.56,0.85,0.12,0.02,0.04,0,0,0,0,0,0,0
120f60a6-0c9,generation_0,aa9df0b0,0.2907936507936508,0.13396825396825396,0.0,63,0.0,0.25,0.56,0.85,0.12,0.02,0.04,0,1,222,246,0,0,0
148c3724-ae6,generation_-1,c76d4063,0.0,0.0,0.0,0,,0.6,0.49,0.49,0.65,0.57,0.61,0,0,0,0,0,0,0
148c3724-ae6,generation_0,c76d4063,0.043333333333333335,0.046666666666666655,0.0,15,0.0,0.6,0.49,0.49,0.65,0.57,0.61,15,13,51,0,0,0,0
b3e2be84-f84,generation_-1,222b85c3,0.0,0.0,0.0,0,,0.08,0.91,0.39,0.34,0.23,0.53,0,0,0,0,0,0,0
b3e2be84-f84,generation_0,222b85c3,0.09789473684210528,0.06736842105263156,0.0,19,0.0,0.08,0.91,0.39,0.34,0.23,0.53,18,10,65,2,0,0,0
232b4ed8-f6d,generation_-1,deabe18c,0.0,0.0,0.0,0,,0.19,0.07,0.46,0.1,0.97,0.52,0,0,0,0,0,0,0
232b4ed8-f6d,generation_0,deabe18c,0.09789473684210528,0.06736842105263156,0.0,19,0.0,0.19,0.07,0.46,0.1,0.97,0.52,18,4,84,0,0,0,0
b397926a-bdb,generation_-1,126e4527,0.0,0.0,0.0,0,,0.93,0.26,0.84,0.4,0.34,0.59,0,0,0,0,0,0,0
b397926a-bdb,generation_0,126e4527,0.21418341708542718,0.10987437185929647,0.0,398,0.0,0.93,0.26,0.84,0.4,0.34,0.59,1,0,1612,1500,0,0,0
a0102299-786,generation_-1,00766e15,0.0,0.0,0.0,0,,0.0,0.08,0.85,0.39,0.8,0.55,0,0,0,0,0,0,0
a0102299-786,generation_0,00766e15,-0.043333333333333335,0.033333333333333326,0.0,3,0.0,0.0,0.08,0.85,0.39,0.8,0.55,1,0,10,12,0,0,0
620b8597-92b,generation_-1,07143998,0.0,0.0,0.0,0,,0.79,1.0,0.32,0.98,0.81,0.69,0,0,0,0,0,0,0
620b8597-92b,generation_0,07143998,0.049523809523809526,0.0476190476190476,0.0,21,0.0,0.79,1.0,0.32,0.98,0.81,0.69,20,10,74,2,0,0,0
1d2bc24c-289,generation_-1,8dad5157,0.0,0.0,0.0,0,,0.94,0.02,0.74,0.46,0.57,0.11,0,0,0,0,0,0,0
