lineage,generation,id,fitness,lineage_fitness,lineage_avg_fitness,rounds_lasted,table_position,trait_aggressiveness,trait_risk_tolerance,trait_bluff_tendency,trait_adaptability,trait_position_awareness,trait_chip_size_awareness,action_fold,action_check,action_call,action_raise,action_all_in,action_bluff
66834a7d-207,generation_-1,261de4c2,0.0,0.0,0.0,0,,0.87,0.05,0.94,0.81,0.52,0.81,0,0,0,0,0,0
66834a7d-207,generation_0,261de4c2,0.017083333333333325,0.03416666666666666,0.0,4,0.0,0.87,0.05,0.94,0.81,0.52,0.81,1,0,17,15,0,0
380791b6-1ec,generation_-1,6e87e23d,0.0,0.0,0.0,0,,0.62,0.84,0.3,0.04,0.04,0.17,0,0,0,0,0,0
380791b6-1ec,generation_0,6e87e23d,0.24241228070175436,0.09535087719298242,0.0,38,0.0,0.62,0.84,0.3,0.04,0.04,0.17,36,45,115,2,0,0
70d64a57-917,generation_-1,c8ab54ed,0.0,0.0,0.0,0,,0.76,0.43,0.76,0.04,0.98,0.14,0,0,0,0,0,0
70d64a57-917,generation_0,c8ab54ed,0.29450765864332606,0.109890590809628,0.0,457,0.0,0.76,0.43,0.76,0.04,0.98,0.14,15,0,1953,1722,0,0
8cc8602a-7ba,generation_-1,7550ada3,0.0,0.0,0.0,0,,0.26,0.63,0.69,0.97,0.18,0.24,0,0,0,0,0,0
8cc8602a-7ba,generation_0,7550ada3,0.29469919786096255,0.10993315508021388,0.0,748,0.0,0.26,0.63,0.69,0.97,0.18,0.24,0,18,3630,2562,0,0
4ed61464-4c3,generation_-1,a4156ad2,0.0,0.0,0.0,0,,0.58,0.39,0.91,0.79,0.09,0.74,0,0,0,0,0,0
4ed61464-4c3,generation_0,a4156ad2,0.37372093023255815,0.131937984496124,0.0,129,0.0,0.58,0.39,0.91,0.79,0.09,0.74,3,0,530,470,0,0
4ed61464-4c3,generation_1,2b050010,0.01916666666666665,0.03833333333333332,0.0,2,2.0,0.58,0.39,0.91,0.79,0.09,0.74,1,0,10,10,0,0
4ed61464-4c3,generation_1,974bc747,-0.06000000000000002,0.013333333333333327,0.03833333333333332,3,2.0,0.37,0.35,0.7250000000000001,0.895,0.21999999999999997,0.61,0,0,12,15,0,0
4ed61464-4c3,generation_1,5fc987d4,0.14951219512195119,0.06878048780487803,0.025833333333333326,41,3.0,0.37,0.35,0.7250000000000001,0.895,0.21999999999999997,0.61,4,0,104,154,0,0
4ed61464-4c3,generation_1,783d2b9b,0.20769230769230768,0.08615384615384612,0.04014905149051489,13,3.0,0.48,0.65,0.845,0.66,0.175,0.575,3,0,50,42,0,0
4ed61464-4c3,generation_1,44131bc9,0.04249999999999998,0.044999999999999984,0.0516502501563477,2,3.0,0.6,0.5449999999999999,0.7350000000000001,0.585,0.275,0.735,0,0,10,10,0,0
4ed61464-4c3,generation_1,d977f4c3,0.30643730886850157,0.11328236493374107,0.050320200125078166,981,4.0,0.755,0.665,0.72,0.675,0.265,0.45999999999999996,0,0,3908,3925,0,0
908d07f0-94f,generation_-1,2f7fcf9e,0.0,0.0,0.0,0,,0.3,0.2,0.68,0.21,0.75,0.98,0,0,0,0,0,0
908d07f0-94f,generation_0,2f7fcf9e,0.059999999999999984,0.04444444444444443,0.0,9,0.0,0.3,0.2,0.68,0.21,0.75,0.98,2,0,28,32,0,0
64592765-9e5,generation_-1,56679462,0.0,0.0,0.0,0,,0.25,0.65,0.41,0.04,0.38,0.42,0,0,0,0,0,0
