generation,fitness,avg_rounds_lasted,avg_trait_aggressiveness,avg_trait_risk_tolerance,avg_trait_bluff_tendency,avg_trait_adaptability,avg_trait_position_awareness,avg_trait_chip_size_awareness,avg_action_bluff_attempts,avg_action_fold,avg_action_raise,avg_action_call,avg_action_all_in,avg_action_check
0,0.17626786331170446,261.14,0.5438000000000001,0.49979999999999997,0.5126,0.4678,0.41619999999999996,0.49200000000000005,0.0,14.1,943.24,1049.96,0.0,13.4
1,0.14648649219596388,236.46,0.608641482928544,0.6896586817460906,0.6867828445215758,0.4461384198817486,0.5964195604124629,0.3389084420166936,0.0,1.34,909.68,919.88,0.0,1.22
2,0.13900848864724497,369.56,0.7839575214028769,0.8643087567888152,0.6918435824511653,0.23522176653855875,0.7807814139313016,0.1641873197988072,0.0,0.34,1425.54,1459.0,0.0,0.1
3,0.146382450621422,240.72,0.6939735913071824,0.8426444820676509,0.6498482970790279,0.2971391537878164,0.7120872178360935,0.3107725137368357,0.0,1.6,916.1,973.92,0.0,1.48
4,0.1758828223420455,385.1,0.7467193799849767,0.860013574518921,0.6561443156887741,0.25320131204890955,0.7523373622932661,0.23552469231676784,0.0,1.58,1498.72,1579.28,0.0,0.72
5,0.16807162702772044,724.38,0.7281462272752232,0.8108712486197031,0.6383182966482516,0.25485832765307825,0.7315522822770002,0.274321093521681,0.0,1.02,2780.96,2829.82,0.0,0.48
6,0.1655724396322311,710.92,0.7618371825367004,0.47991769015845365,0.7117011536481792,0.19667561355286167,0.5854630671637924,0.2613090320731326,0.0,1.64,2667.5,2666.82,0.0,0.36
7,0.1674031970057569,1342.96,0.777409702023156,0.5076786274211189,0.6996816111407281,0.20173596768162522,0.5562511221180736,0.2712805420382523,0.0,3.96,5082.38,5140.42,0.0,0.4
8,0.17381174399311256,2558.96,0.8093780212805851,0.4265203953762662,0.7160031072442142,0.17199273829335418,0.570271935862668,0.24199113077394518,0.0,1.52,10045.7,10049.8,0.0,0.28
9,0.1971032943556861,2915.18,0.7095330121709058,0.7100179196862487,0.6062930072946416,0.34480764817637877,0.6783586243970791,0.37416754093453813,0.0,2.76,11439.34,11345.06,0.0,1.52
10,0.18258765979301722,1807.1,0.7055158417024984,0.7316933477448643,0.6136835438641118,0.34192269879304876,0.7001331785787194,0.39808485796069887,0.0,0.28,7076.3,6926.8,0.0,0.18
11,0.18474792096023088,9210.38,0.7236067155278922,0.8047645030609837,0.6022653865027426,0.2957101708716524,0.6852952656647386,0.3979852551153769,0.0,1.94,36528.52,36337.9,0.0,1.1
12,0.19729232505124725,10262.82,0.6968053699095955,0.7896529062942022,0.6135804802437782,0.2952728405255744,0.6397534183948788,0.3873022056776666,0.0,0.52,40696.68,40467.72,0.0,0.16
13,0.21894428609580255,16788.66,0.5139013630888883,0.7311149411101024,0.45007325698066475,0.48004070568180623,0.6858748501827477,0.41696404148545513,0.0,16.54,66878.36,66888.86,0.0,13.72
14,0.23962538846277084,25149.14,0.5520474439237576,0.6474618780464588,0.40444354531419036,0.418213641080972,0.6914301563027254,0.4531235224076409,0.0,20.34,100206.34,100181.64,0.0,16.94
15,0.2479958061498797,29329.54,0.4379375148814206,0.5390673911104347,0.3007647559209509,0.5955475880198281,0.657112630079849,0.49406415794250225,0.0,61.16,115365.46,115739.52,0.0,1055.88
16,0.21594875970521765,16455.86,0.35155016337505546,0.5268717468672132,0.2720599961221513,0.8895977258492711,0.5927452449251842,0.4348655608978164,0.0,523.7,50038.72,54149.58,0.0,10666.66
17,0.19848042116746153,8493.92,0.39438852501182636,0.4782311944174195,0.4584570941308922,0.7254979052297809,0.4874944917273367,0.41757654704281827,0.0,12.66,33765.56,33852.52,0.0,12.84
18,0.21838530589502816,13917.26,0.3241778801676435,0.5210737428444291,0.3339480240837186,0.8418896277248337,0.565462534104467,0.4316429248565738,0.0,208.3,50038.38,51486.96,0.0,3685.38
19,0.21871617662440326,18308.52,0.4626517274393438,0.4761891151433075,0.39823203527715245,0.8298548881762713,0.46526715171473065,0.45953479176853257,0.0,106.12,51755.66,58099.32,0.0,14747.86
20,0.2579532041035398,33949.82,0.47895232329135257,0.4803108462250167,0.39612606694470204,0.8936436247377464,0.4847463825408264,0.44615784813116166,0.0,83.78,115412.1,121250.3,0.0,13933.34
21,0.2317526375406169,23746.58,0.6123498064856766,0.5347513729374483,0.5196668386490951,0.8468553481654493,0.40795760671348114,0.45090346126356196,0.0,15.48,85191.52,88069.82,0.0,6613.68
22,0.22248361495032337,16712.26,0.5692005150387129,0.5039135859291952,0.4546654885359206,0.6902099018732977,0.4435879392741044,0.5170050182644446,0.0,12.72,66578.24,66581.92,0.0,10.5
23,0.21610592762634226,12790.24,0.47904683842666246,0.4021212642111138,0.3800437406085585,0.648746423290971,0.5085545056510249,0.5408185289073443,0.0,22.06,49748.64,50135.9,0.0,832.38
24,0.2315129496690012,20233.48,0.5549784845883573,0.5068012054267325,0.4225930351211591,0.8520152579591377,0.43125885546550535,0.4533437328592832,0.0,433.54,66803.36,70393.36,0.0,9518.88
25,0.253561470303743,28174.82,0.5143260841682324,0.47098819600167446,0.36376725990008807,0.9220088311496977,0.45572704099573996,0.4655405714934697,0.0,189.76,99162.24,102837.7,0.0,9157.96
26,0.2862375092614229,45835.28,0.494395583896549,0.4582427677560021,0.37116643863612514,0.9192190445332287,0.46798823901821307,0.477509340418448,0.0,2.58,148282.2,158623.44,0.0,24132.94
27,0.22129544841223875,16141.2,0.5112611178673258,0.47810357333141484,0.36089877382473856,0.8849177964335511,0.4756367132491269,0.45976177385814493,0.0,34.76,49446.3,53903.64,0.0,10410.28
28,0.23354295634039915,21122.24,0.6393899790976366,0.5164836298969565,0.5855191633028923,0.7205825312082541,0.4042843148418899,0.47964590444440774,0.0,9.1,83216.0,83503.12,0.0,670.32
29,0.22896270888061335,17340.32,0.5008676532379871,0.5453309775770445,0.4023797208184336,0.7872063275146607,0.3725483223538435,0.5470455938683323,0.0,72.72,66601.72,67258.04,0.0,1743.3
30,0.2536107961423176,25263.6,0.5260685637787135,0.4895844209824853,0.39471710414075967,0.8334714342585804,0.3450919640484571,0.5541221689202505,0.0,36.24,99491.0,99904.0,0.0,808.72
31,0.25580962134782304,26418.06,0.48704199732899495,0.4780338719559761,0.36556049221023046,0.8678472927994286,0.48401254614201916,0.4806838053530437,0.0,48.52,98887.66,100739.04,0.0,4491.6
32,0.22305271380734035,16972.64,0.5144274654948653,0.4481509361860324,0.3502464429087789,0.899826995047116,0.4969525738596937,0.46913940570355067,0.0,21.22,49435.54,54934.9,0.0,12736.48
33,0.2327349636791692,20680.64,0.5318261066625505,0.43390564932464876,0.38405573931563564,0.8511559160261303,0.5136639781986418,0.46610627791406317,0.0,12.66,67140.46,71813.72,0.0,10656.64
34,0.25442646663238877,26941.78,0.5411794216292688,0.5601264598440676,0.476678202517509,0.7352497525522514,0.4921501207691503,0.5568701749330386,0.0,57.4,99251.06,101701.0,0.0,5665.46
35,0.2665873720130076,29383.52,0.5324072391711702,0.5524286023741378,0.4452564741001918,0.7684955673779322,0.48027309143449715,0.5835549543757962,0.0,53.4,115741.18,116087.24,0.0,952.76
36,0.21811408478075084,12860.76,0.5217038691234023,0.6306962496152648,0.49548833087726685,0.6954199797266569,0.5150545409163123,0.6580009082719549,0.0,62.82,50047.76,50370.84,0.0,803.86
37,0.2930410485331087,37563.92,0.5051051046556624,0.5872561412280539,0.45725499618421933,0.7393495273030243,0.5293484231319638,0.6183432954897495,0.0,70.02,148406.66,148679.92,0.0,900.88
38,0.243347715889934,21576.48,0.5190561842347439,0.6141198482723312,0.4846357219206822,0.7041703804211774,0.5143709215759862,0.6149704516021103,0.0,120.22,82608.6,83471.28,0.0,2324.66
39,0.24362001820811924,20951.44,0.43882488227947003,0.48174454565399105,0.4860272797300081,0.6584620107430852,0.5372876329914614,0.46856425113448646,0.0,32.56,82595.98,82818.64,0.0,622.12
40,0.19981820826015814,7556.6,0.48887377173690927,0.4354813993047953,0.41220933049764824,0.83904608463363,0.4947854141384528,0.46081440925228967,0.0,30.68,16534.18,20667.36,0.0,9472.18
41,0.2179231816322451,12598.4,0.6090349193633307,0.4602745213291803,0.557015640349657,0.7456016445895481,0.4534284280728269,0.5563936445340613,0.0,12.7,50166.62,50194.04,0.0,6.74
42,0.2471872099528807,20753.18,0.5490893179140746,0.46370369804946326,0.43391388560884275,0.8465255678063807,0.4220736412006587,0.5006599770077013,0.0,18.94,82663.96,82644.12,0.0,17.66
